transacted,created,id,code_1,code_2,code_3,code_4,code_5,amount,qauntity,price,tax,value
2023-01-04 06:13:54,2023-01-04 08:34:12,1,372465420-0,281979766-0,671725372-X,187689662-0,642033735-6,45.0804,280,65.5167,7.455702,1696.925195
2023-01-04 06:13:54,2023-01-04 08:34:12,2,683449225-9,260726939-3,397220034-X,299832130-5,708787602-3,18.1479,381,79.5961,2.121623,9189.724545
2023-01-04 06:13:54,2023-01-04 08:34:12,3,959205832-6,336898710-0,144420408-4,838169139-7,086180640-9,86.3668,325,74.9726,6.388903,6853.089787
2023-01-04 06:13:54,2023-01-04 08:34:12,4,555483214-8,324887110-5,715684782-1,544337039-1,904794846-7,14.6663,391,15.522,1.827537,2631.39259
2023-01-04 06:13:54,2023-01-04 08:34:12,5,786935044-3,508974514-5,766243839-2,876456614-5,126824870-3,70.3545,218,27.5922,4.958986,7614.411886
2023-01-04 06:13:54,2023-01-04 08:34:12,6,413936108-5,379554110-7,262333824-8,934940082-0,750580448-0,32.6516,479,39.0376,1.554338,6151.86205
2023-01-04 06:13:54,2023-01-04 08:34:12,7,892444504-9,034220816-0,741384655-1,413379988-7,757856990-2,6.225,497,51.6035,5.373439,7619.814312
2023-01-04 06:13:54,2023-01-04 08:34:12,8,918339243-2,986850346-9,283600573-4,994149170-4,703428415-6,6.74,465,12.7983,1.10654,6950.835083
2023-01-04 06:13:54,2023-01-04 08:34:12,9,957379862-X,451891395-7,022586550-5,106971863-7,013290120-X,91.9573,465,3.0264,7.62887,1462.981686
2023-01-04 06:13:54,2023-01-04 08:34:12,10,787310349-8,425267298-8,634286193-5,673241108-X,361841706-3,21.8638,59,23.5922,7.523789,2722.903822
2023-01-04 06:13:54,2023-01-04 08:34:12,11,149945615-8,363029320-4,775003786-1,369160324-6,985414684-7,79.5506,479,9.7012,6.099309,6595.814538
2023-01-04 06:13:54,2023-01-04 08:34:12,12,046140257-2,591881811-1,103675749-8,990848810-4,742607436-6,15.9889,420,38.8155,8.079866,2638.753461
2023-01-04 06:13:54,2023-01-04 08:34:12,13,878781277-0,334291335-5,322256219-9,219186329-9,764566858-X,21.84,304,30.1124,1.493122,8840.946827
2023-01-04 06:13:54,2023-01-04 08:34:12,14,124522349-6,283805005-2,474391128-1,053854811-8,952399923-0,60.6867,436,5.7476,9.303896,7282.791662
2023-01-04 06:13:54,2023-01-04 08:34:12,15,084885015-7,070862048-5,592587712-8,811938049-5,687284983-5,4.4159,482,87.4776,2.127346,2475.909243
2023-01-04 06:13:54,2023-01-04 08:34:12,16,908528149-0,452303041-3,601656109-6,252081594-9,485115270-1,74.8131,435,84.8203,5.786487,2732.924731
2023-01-04 06:13:54,2023-01-04 08:34:12,17,973480236-4,005853881-X,717312568-5,552680510-7,472305265-8,86.1981,409,2.7906,4.94258,9125.985854
2023-01-04 06:13:54,2023-01-04 08:34:12,18,850836559-4,997013886-3,276241229-3,785243035-X,247204709-6,48.8696,336,56.4658,5.285551,1332.801984
2023-01-04 06:13:54,2023-01-04 08:34:12,19,753117258-5,759313680-9,200502171-7,060567982-7,624438335-4,45.3753,440,54.4847,9.310594,5165.348823
2023-01-04 06:13:54,2023-01-04 08:34:12,20,074150491-X,956379639-X,839391578-3,736630475-1,015043261-5,89.7662,435,40.7505,1.078503,4997.378858
2023-01-04 06:13:54,2023-01-04 08:34:12,21,605857619-9,824205351-0,410402600-X,120697845-7,134510156-2,50.3269,88,8.3245,6.164957,5771.498811
